SLPM_802.38|98-koushien
SLUS_007.52|thrill-kill
SLPS_012.04|98-koushien-koukou-yakyuu-simulation
SLPS_021.10|99-koushien
SLPM_804.21|99-koushien
SLPS_011.69|butagee-de-iinja-nai
SLPS_013.11|0-kara-no-mahjong-mahjong-youchien-tamago-gumi
SLPS_025.46|0-kara-no-mahjong-mahjong-youchien-tamago-gumi
SLPS_019.86|0-kara-no-shougi-shougi-youchien-ayumi-gumi
SLPS_029.20|0-kara-no-shougi-shougi-youchien-ayumi-gumi
SLES_033.55|007-racing
SLES_033.56|007-racing
SLES_033.57|007-racing
SLUS_013.00|007-racing
SLES_023.75|007-tomorrow-never-dies
SLES_023.76|007-tomorrow-never-dies
SLES_031.36|007-the-world-is-not-enough
SLES_031.37|007-the-world-is-not-enough
SLES_031.35|007-the-world-is-not-enough
SLES_031.34|007-the-world-is-not-enough
SLES_031.38|007-the-world-is-not-enough
SLUS_012.72|007-the-world-is-not-enough
SLES_013.24|007-tomorrow-never-dies
SLPS_026.04|007-tomorrow-never-dies
SLUS_009.75|007-tomorrow-never-dies
SLPS_017.06|1-on-1
SLPS_022.98|1-on-1
SLPM_803.51|1-on-1
SLPS_017.30|100-man-yen-quiz-hunter
SLES_036.58|100-star
SLES_037.84|100-star
SLPS_010.54|10101-will-the-starship
SLPM_806.43|10th-anniversary-memorial-save-data-playstation-taiou
LSP99012.101|lightspan
LSP99012.201|lightspan
LSP99012.301|lightspan
LSP99012.401|lightspan
SLPS_018.65|19-ji-03-pun-ueno-hatsu-yakou-ressha
SLPM_801.81|19-ji-03-pun-ueno-hatsu-yakou-ressha
SLPS_023.48|20-seiki-striker-retsuden-the-20th-centurys-real-strikers
SLPS_028.57|20-seiki-striker-retsuden-the-20th-centurys-real-strikers
SLPS_914.16|20-seiki-striker-retsuden-the-20th-centurys-real-strikers
SLES_038.30|2002-fifa-world-cup
SLES_038.31|2002-fifa-world-cup
SLES_038.32|2002-fifa-world-cup
SLES_038.33|2002-fifa-world-cup
SLES_038.34|2002-fifa-world-cup
SLUS_014.49|2002-fifa-world-cup
SCES_004.00|2-xtreme
SCUS_945.08|2-xtreme
SLES_031.20|3-2-1-smurf-my-first-racing-game
SLES_020.89|360-three-sixty
SLUS_000.66|3d-baseball
SLPS_006.93|3d-baseball-the-majors
SLPS_014.34|3d-kakutou-tkool
SCES_000.09|3d-lemmings
SCUS_946.01|3d-lemmings
SIPS_600.02|3d-lemmings
SLPS_004.61|3d-mission-shooting-finalist
SLPS_006.54|3d-shooting-tkool
SCPS_180.06|3d-kaleidoscope-baby-universe
SCUS_942.31|3xtreme
SCUS_943.65|3xtreme
SLPS_000.71|3x3-eyes-kyuusei-koushu
SLPS_000.72|3x3-eyes-kyuusei-koushu
SLPS_014.97|3x3-eyes-tenrinou-genmu
SLPS_014.98|3x3-eyes-tenrinou-genmu
SLPS_014.99|3x3-eyes-tenrinou-genmu
SLES_000.95|4-4-2-soccer
SLES_019.37|40-winks
